date,AAPL,AMZN,BND,GLD,JNJ,JPM,MSFT,VTI,PORTFOLIO,SPY
2025-01-29,0.384588,0.310069,0.048283,0.175872,0.054081,0.402590,0.105817,0.192067,0.222585,0.191314
2025-01-30,0.374350,0.296640,0.049732,0.193681,0.066076,0.411272,0.037468,0.199538,0.215630,0.197708
2025-01-31,0.365152,0.313439,0.048283,0.196040,0.061055,0.406379,0.037643,0.192986,0.212479,0.191334
2025-02-03,0.318934,0.312003,0.049228,0.202424,0.059102,0.403801,0.027293,0.184276,0.202368,0.183317
2025-02-04,0.346642,0.337644,0.050682,0.214266,0.070400,0.409746,0.030918,0.192866,0.213208,0.191255
2025-02-05,0.344733,0.305095,0.056061,0.221806,0.078768,0.422847,0.033218,0.198379,0.217089,0.196085
2025-02-06,0.349071,0.319794,0.054898,0.218568,0.070539,0.456888,0.039543,0.201336,0.222995,0.200242
2025-02-07,0.316736,0.266302,0.051700,0.220742,0.067820,0.451101,0.024368,0.190588,0.209931,0.189255
2025-02-10,0.318299,0.288351,0.051990,0.241419,0.075630,0.426056,0.030543,0.198219,0.213863,0.197332
2025-02-11,0.347080,0.286251,0.050246,0.236886,0.088811,0.446839,0.028593,0.197580,0.220650,0.198243
2025-02-12,0.371691,0.265086,0.044867,0.238181,0.082743,0.449259,0.022593,0.193625,0.220454,0.194382
2025-02-13,0.398677,0.273044,0.051118,0.250393,0.096621,0.453837,0.026343,0.206090,0.231972,0.206992
2025-02-14,0.416455,0.263705,0.054462,0.231798,0.088950,0.455258,0.021068,0.205930,0.230971,0.206933
2025-02-18,0.415702,0.252487,0.050537,0.252197,0.089513,0.472936,0.024093,0.209326,0.235515,0.210476
2025-02-19,0.418019,0.252376,0.051990,0.252891,0.109898,0.469253,0.036918,0.211044,0.240393,0.213327
2025-02-20,0.423578,0.231653,0.053299,0.253539,0.122481,0.403748,0.042404,0.204532,0.233200,0.208279
2025-02-21,0.421956,0.196839,0.057951,0.252382,0.140899,0.390279,0.022564,0.182278,0.223016,0.187612
2025-02-24,0.430932,0.175453,0.059405,0.259182,0.151021,0.375021,0.012018,0.176245,0.219743,0.182208
2025-02-25,0.430585,0.175950,0.066093,0.242576,0.167541,0.354291,-0.003262,0.170412,0.213636,0.176329
2025-02-26,0.391902,0.184516,0.067692,0.244472,0.146382,0.361604,0.001322,0.170812,0.209141,0.176923
2025-02-27,0.374181,0.153515,0.066383,0.225507,0.150951,0.362972,-0.016714,0.152673,0.196364,0.158137
2025-02-28,0.400472,0.173077,0.070890,0.217828,0.160019,0.392436,-0.005542,0.170452,0.211475,0.176210
2025-03-03,0.378409,0.132958,0.073355,0.233879,0.175906,0.371232,-0.026834,0.149477,0.198312,0.155603
2025-03-04,0.366248,0.126216,0.070292,0.244611,0.162831,0.316671,-0.026534,0.135134,0.185546,0.141924
